Date,Time,HomeTeam,AwayTeam,FTR,FTHG,FTAG,Season,Home_Elo,Away_Elo,Elo_Difference,AvgHomeOdds,AvgDrawOdds,AvgAwayOdds,NumBookies,B365HomeOdds,B365DrawOdds,B365AwayOdds,Home_TablePosDiff,Away_TablePosDiff,Home_TablePosDiff_Rolling5,Home_GoalsFor_Rolling5,Home_GoalsAgainst_Rolling5,Home_GoalDifference_Rolling5,Home_Shots_Rolling5,Home_ShotsAgainst_Rolling5,Home_ShotDifference_Rolling5,Home_ShotsOnTarget_Rolling5,Home_ShotsOnTargetAgainst_Rolling5,Home_ShotOnTargetDifference_Rolling5,Home_ShotAccuracy_Rolling5,Home_Corners_Rolling5,Home_CornerDifference_Rolling5,Home_Fouls_Rolling5,Home_FoulDifference_Rolling5,Home_YellowCards_Rolling5,Home_YellowCardDifference_Rolling5,Home_Points_Rolling5,Home_Win_Rolling5,Home_xG_Rolling5,Home_xGA_Rolling5,Home_deep_Rolling5,Home_deep_allowed_Rolling5,Home_OpponentElo_Rolling5,Home_TablePosDiff_RollingTeam7,Home_GoalsFor_RollingTeam7,Home_GoalsAgainst_RollingTeam7,Home_GoalDifference_RollingTeam7,Home_Shots_RollingTeam7,Home_ShotsAgainst_RollingTeam7,Home_ShotDifference_RollingTeam7,Home_ShotsOnTarget_RollingTeam7,Home_ShotsOnTargetAgainst_RollingTeam7,Home_ShotOnTargetDifference_RollingTeam7,Home_ShotAccuracy_RollingTeam7,Home_Corners_RollingTeam7,Home_CornerDifference_RollingTeam7,Home_Fouls_RollingTeam7,Home_FoulDifference_RollingTeam7,Home_YellowCards_RollingTeam7,Home_YellowCardDifference_RollingTeam7,Home_Points_RollingTeam7,Home_Win_RollingTeam7,Home_xG_RollingTeam7,Home_xGA_RollingTeam7,Home_deep_RollingTeam7,Home_deep_allowed_RollingTeam7,Away_TablePosDiff_Rolling5,Away_GoalsFor_Rolling5,Away_GoalsAgainst_Rolling5,Away_GoalDifference_Rolling5,Away_Shots_Rolling5,Away_ShotsAgainst_Rolling5,Away_ShotDifference_Rolling5,Away_ShotsOnTarget_Rolling5,Away_ShotsOnTargetAgainst_Rolling5,Away_ShotOnTargetDifference_Rolling5,Away_ShotAccuracy_Rolling5,Away_Corners_Rolling5,Away_CornerDifference_Rolling5,Away_Fouls_Rolling5,Away_FoulDifference_Rolling5,Away_YellowCards_Rolling5,Away_YellowCardDifference_Rolling5,Away_Points_Rolling5,Away_Win_Rolling5,Away_xG_Rolling5,Away_xGA_Rolling5,Away_deep_Rolling5,Away_deep_allowed_Rolling5,Away_OpponentElo_Rolling5,Away_TablePosDiff_RollingTeam7,Away_GoalsFor_RollingTeam7,Away_GoalsAgainst_RollingTeam7,Away_GoalDifference_RollingTeam7,Away_Shots_RollingTeam7,Away_ShotsAgainst_RollingTeam7,Away_ShotDifference_RollingTeam7,Away_ShotsOnTarget_RollingTeam7,Away_ShotsOnTargetAgainst_RollingTeam7,Away_ShotOnTargetDifference_RollingTeam7,Away_ShotAccuracy_RollingTeam7,Away_Corners_RollingTeam7,Away_CornerDifference_RollingTeam7,Away_Fouls_RollingTeam7,Away_FoulDifference_RollingTeam7,Away_YellowCards_RollingTeam7,Away_YellowCardDifference_RollingTeam7,Away_Points_RollingTeam7,Away_Win_RollingTeam7,Away_xG_RollingTeam7,Away_xGA_RollingTeam7,Away_deep_RollingTeam7,Away_deep_allowed_RollingTeam7
2014-08-30,00:00,Burnley,Man United,D,0.0,0.0,14-15,1601.95532227,1838.26733398,-236.3120117100002,5.9325,3.935,1.61,8,6.0,4.2,1.62,0,0,0.0,1.0,3.0,-2.0,9.0,11.0,-2.0,2.0,3.0,-1.0,0.2222222222222222,4.0,1.0,6.0,1.0,1.0,0.0,0.0,0.0,0.371141,2.12996,2.0,10.0,,0.0,0.4642857142857143,1.9285714285714286,-1.4642857142857142,10.607142857142858,10.464285714285714,0.14285714285714282,1.4642857142857142,4.071428571428571,-2.607142857142857,0.1478174603174603,3.4642857142857144,1.0,9.75,1.0,1.0,0.5357142857142857,0.0,0.0,0.6240999285714286,1.4786680357142858,5.75,5.714285714285714,0.0,1.0,1.0,0.0,10.0,11.0,-1.0,3.0,3.0,0.0,0.3,4.0,0.0,15.0,-5.0,2.0,-2.0,1.0,0.5,0.941557,0.666489,2.0,4.0,,0.0,1.0,1.4642857142857142,-0.4642857142857143,11.857142857142856,8.214285714285715,3.6428571428571432,3.928571428571429,3.4642857142857144,0.4642857142857143,0.326530612244898,4.0,1.8571428571428572,14.535714285714285,0.10714285714285723,2.0,-0.14285714285714282,0.5357142857142857,0.26785714285714285,1.0459251785714285,0.48615439285714285,4.785714285714286,3.0714285714285716
2014-08-30,00:00,Everton,Chelsea,A,3.0,6.0,14-15,1821.80078125,1922.30566406,-100.50488281000004,3.6175,3.28875,2.1612500000000003,8,3.75,3.3,2.2,0,0,0.0,2.0,2.0,0.0,8.0,13.0,-5.0,2.0,3.0,-1.0,0.25,3.0,0.0,10.0,8.0,1.0,3.0,1.0,0.5,1.33429,1.43355,3.0,8.0,,0.0,2.0,2.0,0.0,10.321428571428571,12.07142857142857,-1.75,2.464285714285714,3.0,-0.5357142857142857,0.24107142857142858,4.392857142857142,1.3928571428571428,10.0,7.071428571428571,1.0,1.6071428571428572,1.0,0.5,0.9995321071428571,1.361469642857143,8.571428571428571,4.75,0.0,3.0,1.0,2.0,11.0,9.0,2.0,3.0,2.0,1.0,0.2727272727272727,3.0,-1.0,7.0,-1.0,1.0,0.0,3.0,1.0,2.12996,0.371141,10.0,2.0,,0.0,2.464285714285714,0.4642857142857143,2.0,19.57142857142857,7.392857142857143,12.178571428571429,6.75,3.0714285714285716,3.678571428571429,0.325036075036075,5.678571428571428,0.07142857142857141,9.142857142857142,-0.4642857142857143,0.4642857142857143,0.5357142857142857,3.0,1.0,2.076083214285714,0.46743724999999997,11.071428571428571,1.4642857142857142
2014-08-30,00:00,Man City,Stoke,A,0.0,1.0,14-15,1963.54602051,1682.91967773,280.62634278,1.1925,6.8875,16.68125,8,1.18,8.0,18.0,0,0,0.0,3.0,1.0,2.0,9.0,11.0,-2.0,4.0,3.0,1.0,0.4444444444444444,6.0,-1.0,13.0,-6.0,1.0,0.0,3.0,1.0,1.31375,0.901889,11.0,7.0,,0.0,2.5357142857142856,0.5357142857142857,2.0,10.857142857142856,11.464285714285714,-0.6071428571428571,4.464285714285714,1.6071428571428572,2.857142857142857,0.4166666666666667,4.607142857142857,-0.5357142857142857,12.07142857142857,-4.607142857142857,2.857142857142857,-1.8571428571428572,3.0,1.0,1.3911835714285714,0.9314612142857143,10.071428571428571,6.535714285714286,0.0,1.0,1.0,0.0,19.0,9.0,10.0,3.0,2.0,1.0,0.15789473684210525,5.0,1.0,10.0,0.0,3.0,-2.0,1.0,0.5,1.60916,0.870175,13.0,2.0,,0.0,0.5357142857142857,1.0,-0.4642857142857143,15.749999999999998,8.071428571428571,7.678571428571429,2.5357142857142856,2.0,0.5357142857142857,0.1619674185463659,3.607142857142857,-2.25,11.857142857142856,-2.3214285714285716,1.6071428571428572,0.32142857142857145,0.5357142857142857,0.26785714285714285,1.0586137142857142,0.8885602499999999,8.357142857142858,2.9285714285714284
2014-08-30,00:00,Newcastle,Crystal Palace,D,3.0,3.0,14-15,1645.28063965,1609.94445801,35.33618163999995,1.74625,3.56625,5.1975,8,1.75,3.75,5.25,0,0,0.0,0.0,2.0,-2.0,12.0,13.0,-1.0,0.0,5.0,-5.0,0.0,3.0,0.0,8.0,3.0,1.0,4.0,0.0,0.0,0.965583,1.48053,6.0,9.0,,0.0,0.0,0.9285714285714286,-0.9285714285714286,11.464285714285714,10.857142857142856,0.6071428571428571,2.142857142857143,2.3214285714285716,-0.17857142857142888,0.19480519480519481,5.142857142857142,0.0,8.0,3.0,0.4642857142857143,4.0,0.5357142857142857,0.26785714285714285,0.8229287142857142,0.9592773214285714,6.535714285714286,6.321428571428572,0.0,1.0,2.0,-1.0,4.0,14.0,-10.0,2.0,6.0,-4.0,0.5,3.0,-6.0,19.0,-6.0,2.0,0.0,0.0,0.0,0.158151,1.55411,0.0,9.0,,0.0,1.0,2.5357142857142856,-1.5357142857142858,6.678571428571429,15.607142857142856,-8.928571428571429,3.0714285714285716,7.071428571428571,-4.0,0.47023809523809523,4.607142857142857,-4.392857142857142,16.321428571428573,-4.392857142857142,1.4642857142857142,1.0714285714285714,0.0,0.0,0.40411457142857143,1.4391778571428573,3.75,7.392857142857143
2014-08-30,00:00,QPR,Sunderland,H,1.0,0.0,14-15,1561.10498047,1650.05383301,-88.94885253999996,2.45125,3.18125,3.0975,8,2.4,3.25,3.3,0,0,0.0,0.0,1.0,-1.0,19.0,11.0,8.0,6.0,4.0,2.0,0.3157894736842105,8.0,-1.0,10.0,0.0,1.0,1.0,0.0,0.0,1.90067,1.11757,1.0,5.0,,0.0,0.0,2.607142857142857,-2.607142857142857,13.642857142857144,14.749999999999998,-1.107142857142857,3.3214285714285716,4.535714285714286,-1.2142857142857142,0.20614035087719298,6.928571428571429,-1.0,7.857142857142858,3.2142857142857144,1.0,-0.07142857142857141,0.0,0.0,1.4589735714285716,1.7986610714285713,1.5357142857142858,6.607142857142858,0.0,2.0,2.0,0.0,7.0,10.0,-3.0,2.0,5.0,-3.0,0.2857142857142857,3.0,-3.0,9.0,9.0,1.0,2.0,1.0,0.5,0.991901,1.68343,3.0,6.0,,0.0,1.4642857142857142,1.4642857142857142,0.0,9.142857142857142,10.0,-0.8571428571428572,2.5357142857142856,3.928571428571429,-1.3928571428571428,0.2787569573283859,3.5357142857142856,-1.3928571428571428,9.535714285714286,6.857142857142858,0.4642857142857143,2.0,1.0,0.5,0.8175731428571429,1.2859980357142855,3.5357142857142856,3.857142857142857
2014-08-30,00:00,Swansea,West Brom,H,3.0,0.0,14-15,1688.98803711,1634.42712402,54.56091308999999,1.86,3.495,4.4775,8,1.85,3.6,4.75,0,0,0.0,1.0,0.0,1.0,10.0,12.0,-2.0,5.0,1.0,4.0,0.5,2.0,-1.0,14.0,-1.0,2.0,-1.0,3.0,1.0,0.914215,0.843331,2.0,9.0,,0.0,1.4642857142857142,0.4642857142857143,1.0,7.678571428571429,12.928571428571429,-5.25,4.535714285714286,2.857142857142857,1.6785714285714286,0.6392857142857142,1.0714285714285714,-2.392857142857143,16.78571428571429,-3.3214285714285716,2.9285714285714284,-1.4642857142857142,3.0,1.0,0.6188647500000001,0.9933041071428571,2.0,8.535714285714286,0.0,0.0,0.0,0.0,8.0,8.0,0.0,2.0,2.0,0.0,0.25,5.0,4.0,15.0,-1.0,2.0,-1.0,1.0,0.5,0.665791,0.665853,2.0,5.0,,0.0,0.9285714285714286,0.9285714285714286,0.0,8.928571428571429,7.535714285714286,1.3928571428571428,3.3928571428571432,2.0,1.3928571428571428,0.36607142857142855,5.4642857142857135,3.5357142857142856,16.392857142857142,-4.714285714285714,2.464285714285714,-1.4642857142857142,1.0,0.5,1.1382662499999998,0.8172324285714286,3.857142857142857,4.071428571428571
2014-08-30,00:00,West Ham,Southampton,A,1.0,3.0,14-15,1667.56555176,1709.67651367,-42.110961910000015,2.7375,3.24125,2.69875,8,2.8,3.4,2.7,0,0,0.0,0.0,1.0,-1.0,18.0,10.0,8.0,4.0,4.0,0.0,0.2222222222222222,8.0,3.0,12.0,-2.0,1.0,-1.0,0.0,0.0,1.8531,1.01706,9.0,3.0,,0.0,1.6071428571428572,1.0,0.6071428571428571,17.464285714285715,9.464285714285715,8.0,6.142857142857143,4.0,2.142857142857143,0.3552754435107376,8.535714285714286,3.0,11.464285714285714,0.6785714285714285,2.0714285714285716,-1.5357142857142858,1.6071428571428572,0.5357142857142857,1.577994642857143,0.8028937500000001,7.392857142857143,5.142857142857142,0.0,1.0,2.0,-1.0,12.0,12.0,0.0,6.0,5.0,1.0,0.5,6.0,4.0,11.0,-3.0,2.0,-1.0,0.0,0.0,1.55248,1.33192,9.0,6.0,,0.0,0.4642857142857143,0.9285714285714286,-0.4642857142857143,9.857142857142856,9.857142857142856,0.0,3.857142857142857,3.3928571428571432,0.4642857142857143,0.36607142857142855,3.3214285714285716,-0.28571428571428564,12.607142857142856,-0.8571428571428572,1.4642857142857142,0.07142857142857141,0.5357142857142857,0.26785714285714285,1.0775012499999999,0.9750651785714285,6.857142857142858,3.857142857142857
2014-08-31,00:00,Aston Villa,Hull,H,2.0,1.0,14-15,1626.03295898,1575.47485352,50.558105460000206,2.27625,3.155,3.46625,8,2.3,3.3,3.5,0,0,0.0,0.0,0.0,0.0,9.0,11.0,-2.0,0.0,4.0,-4.0,0.0,7.0,0.0,11.0,-3.0,4.0,-4.0,1.0,0.5,0.507525,0.699295,4.0,7.0,,0.0,0.4642857142857143,0.0,0.4642857142857143,8.071428571428571,11.464285714285714,-3.3928571428571432,0.9285714285714286,3.0714285714285716,-2.142857142857143,0.1326530612244898,7.464285714285714,2.7857142857142856,10.071428571428571,0.7142857142857146,3.5357142857142856,-3.5357142857142856,1.9285714285714286,0.7321428571428571,0.6942834642857143,0.5711860357142857,4.0,5.142857142857142,0.0,1.0,0.0,1.0,11.0,19.0,-8.0,4.0,6.0,-2.0,0.36363636363636365,9.0,1.0,10.0,0.0,2.0,-1.0,3.0,1.0,1.11757,1.90067,5.0,1.0,,0.0,1.0,0.5357142857142857,0.4642857142857143,9.928571428571427,19.0,-9.071428571428571,2.9285714285714284,4.392857142857142,-1.4642857142857142,0.2878787878787879,6.321428571428572,-0.07142857142857141,10.0,0.0,1.4642857142857142,0.6071428571428571,1.9285714285714286,0.7321428571428571,0.9850369642857142,1.7445039285714288,3.3928571428571432,7.428571428571429
2014-08-31,00:00,Leicester,Arsenal,D,1.0,1.0,14-15,1637.9921875,1867.87097168,-229.8787841799999,4.543749999999999,3.5562500000000004,1.8375,8,4.75,3.75,1.83,0,0,0.0,2.0,2.0,0.0,11.0,13.0,-2.0,3.0,3.0,0.0,0.2727272727272727,3.0,-3.0,16.0,-6.0,1.0,0.0,1.0,0.5,1.2783,0.613273,1.0,15.0,,0.0,0.9285714285714286,2.0,-1.0714285714285714,8.321428571428571,20.5,-12.178571428571429,3.5357142857142856,6.75,-3.2142857142857144,0.48376623376623373,5.142857142857142,-1.9285714285714286,13.321428571428571,-2.7857142857142856,1.0,-0.5357142857142857,0.4642857142857143,0.23214285714285715,0.8886182142857143,1.371907107142857,1.0,13.392857142857142,0.0,2.0,2.0,0.0,13.0,8.0,5.0,3.0,2.0,1.0,0.23076923076923078,3.0,0.0,18.0,-8.0,4.0,-3.0,1.0,0.5,1.43355,1.33429,8.0,3.0,,0.0,2.0,1.5357142857142858,0.4642857142857143,13.464285714285714,6.142857142857143,7.321428571428572,4.392857142857142,2.0,2.392857142857143,0.3226059654631084,5.785714285714286,2.7857142857142856,15.678571428571427,-1.4999999999999998,3.0714285714285716,-1.6071428571428572,1.9285714285714286,0.7321428571428571,1.4895242857142859,0.7882254642857143,8.464285714285715,1.6071428571428572
2014-08-31,00:00,Tottenham,Liverpool,A,0.0,3.0,14-15,1809.38024902,1892.6986084,-83.31835937999995,2.67375,3.335,2.7,8,2.7,3.5,2.7,0,0,0.0,4.0,0.0,4.0,18.0,9.0,9.0,5.0,1.0,4.0,0.2777777777777778,7.0,1.0,12.0,-6.0,0.0,1.0,3.0,1.0,2.38894,1.07617,8.0,2.0,,0.0,2.607142857142857,0.0,2.607142857142857,14.285714285714286,13.178571428571429,1.107142857142857,4.535714285714286,2.392857142857143,2.142857142857143,0.33452380952380956,6.071428571428572,-0.8571428571428572,11.071428571428571,-2.2857142857142856,0.0,1.0,3.0,1.0,1.7519957142857143,1.4368875,5.678571428571428,5.25,0.0,1.0,3.0,-2.0,11.0,9.0,2.0,3.0,4.0,-1.0,0.2727272727272727,7.0,1.0,7.0,6.0,1.0,0.0,0.0,0.0,0.901889,1.31375,7.0,11.0,,0.0,1.4642857142857142,2.0714285714285716,-0.6071428571428571,11.464285714285714,10.392857142857142,1.0714285714285714,3.928571428571429,4.928571428571428,-1.0,0.33955627705627706,4.678571428571429,-1.3214285714285714,7.464285714285714,4.607142857142857,1.0,0.4642857142857143,1.3928571428571428,0.4642857142857143,1.10154625,1.4245889285714288,6.535714285714286,10.071428571428571
