test_season,n_matches,mean_log_loss,mean_brier,accuracy
17-18,359,0.9437600197512138,0.5604031668287581,0.5459610027855153
18-19,360,0.8988153865879601,0.5274014483631785,0.6027777777777777
19-20,360,0.97428630109962,0.5768923775582742,0.5333333333333333
20-21,358,1.0281490735160428,0.611994484759226,0.49162011173184356
21-22,360,0.9542084285659884,0.5651216979517825,0.5555555555555556
22-23,360,0.9707826808545014,0.5762808350825239,0.5305555555555556
23-24,359,0.9283572640532761,0.5474087712112418,0.5905292479108635
24-25,360,0.9808583544686673,0.5856818693097339,0.5333333333333333
25-26,360,1.0313427240998265,0.6207233735077077,0.5
