Date,Time,HomeTeam,AwayTeam,FTR,FTHG,FTAG,Home_TablePosDiff,Home_TablePosDiff_Rolling5,Home_GoalsFor_Rolling5,Home_GoalsAgainst_Rolling5,Home_GoalDifference_Rolling5,Home_Shots_Rolling5,Home_ShotsAgainst_Rolling5,Home_ShotDifference_Rolling5,Home_ShotsOnTarget_Rolling5,Home_ShotsOnTargetAgainst_Rolling5,Home_ShotOnTargetDifference_Rolling5,Home_ShotAccuracy_Rolling5,Home_Corners_Rolling5,Home_CornerDifference_Rolling5,Home_Fouls_Rolling5,Home_FoulDifference_Rolling5,Home_Points_Rolling5,Home_Win_Rolling5,Away_TablePosDiff,Away_TablePosDiff_Rolling5,Away_GoalsFor_Rolling5,Away_GoalsAgainst_Rolling5,Away_GoalDifference_Rolling5,Away_Shots_Rolling5,Away_ShotsAgainst_Rolling5,Away_ShotDifference_Rolling5,Away_ShotsOnTarget_Rolling5,Away_ShotsOnTargetAgainst_Rolling5,Away_ShotOnTargetDifference_Rolling5,Away_ShotAccuracy_Rolling5,Away_Corners_Rolling5,Away_CornerDifference_Rolling5,Away_Fouls_Rolling5,Away_FoulDifference_Rolling5,Away_Points_Rolling5,Away_Win_Rolling5
2011-08-27,00:00,Aston Villa,Wolves,D,0,0,0,0.0,3.0,1.0,2.0,9.0,10.0,-1.0,6.0,6.0,0.0,0.6666666666666666,5.0,1.0,9.0,4.0,3.0,1.0,0,0.0,2.0,1.0,1.0,13.0,16.0,-3.0,4.0,8.0,-4.0,0.3076923076923077,6.0,-6.0,10.0,4.0,3.0,1.0
2011-08-27,00:00,Chelsea,Norwich,H,3,1,0,0.0,2.0,1.0,1.0,22.0,6.0,16.0,12.0,4.0,8.0,0.5454545454545454,7.0,3.0,12.0,-4.0,3.0,1.0,0,0.0,1.0,1.0,0.0,13.0,18.0,-5.0,3.0,11.0,-8.0,0.23076923076923078,3.0,-4.0,8.0,3.0,1.0,0.5
2011-08-27,00:00,Liverpool,Bolton,H,3,1,0,0.0,1.0,1.0,0.0,11.0,15.0,-4.0,4.0,6.0,-2.0,0.36363636363636365,6.0,3.0,17.0,-5.0,1.0,0.5,0,0.0,4.0,0.0,4.0,13.0,13.0,0.0,7.0,7.0,0.0,0.5384615384615384,2.0,-1.0,16.0,-7.0,3.0,1.0
2011-08-27,00:00,Swansea,Sunderland,D,0,0,0,0.0,0.0,0.0,0.0,12.0,10.0,2.0,6.0,4.0,2.0,0.5,7.0,0.0,8.0,10.0,1.0,0.5,0,0.0,1.0,1.0,0.0,15.0,11.0,4.0,6.0,4.0,2.0,0.4,3.0,-3.0,12.0,5.0,1.0,0.5
2011-08-27,00:00,Wigan,QPR,H,2,0,0,0.0,1.0,1.0,0.0,18.0,13.0,5.0,11.0,3.0,8.0,0.6111111111111112,7.0,4.0,11.0,-3.0,1.0,0.5,0,0.0,1.0,0.0,1.0,4.0,14.0,-10.0,3.0,7.0,-4.0,0.75,1.0,-1.0,9.0,3.0,3.0,1.0
2011-08-28,00:00,Man United,Arsenal,H,8,2,0,0.0,3.0,0.0,3.0,27.0,20.0,7.0,21.0,12.0,9.0,0.7777777777777778,11.0,8.0,12.0,-3.0,3.0,1.0,0,0.0,0.0,0.0,0.0,9.0,6.0,3.0,4.0,1.0,3.0,0.4444444444444444,5.0,3.0,11.0,-2.0,1.0,0.5
2011-08-28,00:00,Newcastle,Fulham,H,2,1,0,0.0,0.0,0.0,0.0,6.0,9.0,-3.0,1.0,4.0,-3.0,0.16666666666666666,2.0,-3.0,9.0,2.0,1.0,0.5,0,0.0,0.0,2.0,-2.0,8.0,17.0,-9.0,4.0,7.0,-3.0,0.5,8.0,1.0,10.0,-3.0,0.0,0.0
2011-08-28,00:00,West Brom,Stoke,A,0,1,0,0.0,1.0,2.0,-1.0,14.0,11.0,3.0,8.0,5.0,3.0,0.5714285714285714,6.0,1.0,16.0,-7.0,0.0,0.0,0,0.0,1.0,1.0,0.0,15.0,9.0,6.0,5.0,7.0,-2.0,0.3333333333333333,6.0,3.0,12.0,1.0,1.0,0.5
2011-09-10,00:00,Arsenal,Swansea,H,1,0,-2,0.0,0.0,2.0,-2.0,10.0,13.0,-3.0,6.0,8.0,-2.0,0.6,9.0,4.0,11.0,-5.0,0.0,0.0,2,0.0,0.0,4.0,-4.0,8.0,26.0,-18.0,5.0,19.0,-14.0,0.625,4.0,-3.0,2.0,7.0,0.0,0.0
2011-09-10,00:00,Bolton,Man United,A,0,5,-10,0.0,2.0,3.0,-1.0,6.0,17.0,-11.0,4.0,9.0,-5.0,0.6666666666666666,7.0,-1.0,19.0,-5.0,0.0,0.0,10,0.0,2.0,1.0,1.0,11.0,14.0,-3.0,5.0,8.0,-3.0,0.45454545454545453,5.0,-1.0,9.0,7.0,3.0,1.0
2011-09-10,00:00,Everton,Aston Villa,D,2,2,-3,0.0,0.0,1.0,-1.0,14.0,4.0,10.0,7.0,3.0,4.0,0.5,2.0,1.0,12.0,-3.0,0.0,0.0,3,0.0,0.0,0.0,0.0,7.0,13.0,-6.0,1.0,9.0,-8.0,0.14285714285714285,3.0,1.0,18.0,-8.0,1.0,0.5
2011-09-10,00:00,Man City,Wigan,H,3,0,6,0.0,4.0,0.0,4.0,26.0,8.0,18.0,19.0,5.0,14.0,0.7307692307692307,7.0,3.0,9.0,-7.0,3.0,1.0,-6,0.0,0.0,0.0,0.0,10.0,12.0,-2.0,4.0,6.0,-2.0,0.4,7.0,0.0,18.0,-10.0,1.0,0.5
2011-09-10,00:00,Stoke,Liverpool,H,1,0,-5,0.0,0.0,0.0,0.0,6.0,20.0,-14.0,3.0,11.0,-8.0,0.5,4.0,-2.0,12.0,0.0,1.0,0.5,5,0.0,2.0,0.0,2.0,13.0,10.0,3.0,8.0,6.0,2.0,0.6153846153846154,5.0,-4.0,6.0,5.0,3.0,1.0
2011-09-10,00:00,Sunderland,Chelsea,A,1,2,-9,0.0,0.0,1.0,-1.0,15.0,12.0,3.0,5.0,10.0,-5.0,0.3333333333333333,7.0,1.0,17.0,-10.0,0.0,0.0,9,0.0,0.0,0.0,0.0,20.0,6.0,14.0,11.0,3.0,8.0,0.55,6.0,2.0,12.0,0.0,1.0,0.5
2011-09-10,00:00,Wolves,Tottenham,A,0,2,4,0.0,2.0,0.0,2.0,17.0,8.0,9.0,7.0,4.0,3.0,0.4117647058823529,7.0,-1.0,7.0,3.0,3.0,1.0,-4,0.0,0.0,3.0,-3.0,20.0,27.0,-7.0,12.0,21.0,-9.0,0.6,3.0,-8.0,9.0,3.0,0.0,0.0
2011-09-11,00:00,Fulham,Blackburn,D,1,1,2,0.0,0.0,0.0,0.0,13.0,7.0,6.0,9.0,1.0,8.0,0.6923076923076923,2.0,-1.0,10.0,8.0,1.0,0.5,-2,0.0,1.0,3.0,-2.0,10.0,9.0,1.0,6.0,6.0,0.0,0.6,4.0,-1.0,13.0,-4.0,0.0,0.0
2011-09-11,00:00,Norwich,West Brom,A,0,1,5,0.0,1.0,1.0,0.0,9.0,15.0,-6.0,7.0,5.0,2.0,0.7777777777777778,3.0,-3.0,13.0,-1.0,1.0,0.5,-5,0.0,1.0,2.0,-1.0,6.0,22.0,-16.0,4.0,12.0,-8.0,0.6666666666666666,4.0,-3.0,8.0,4.0,0.0,0.0
2011-09-12,00:00,QPR,Newcastle,D,0,0,-9,0.0,0.0,4.0,-4.0,13.0,13.0,0.0,7.0,7.0,0.0,0.5384615384615384,3.0,1.0,9.0,7.0,0.0,0.0,9,0.0,1.0,0.0,1.0,12.0,15.0,-3.0,10.0,5.0,5.0,0.8333333333333334,6.0,-1.0,7.0,10.0,3.0,1.0
2011-09-17,00:00,Aston Villa,Newcastle,D,1,1,-4,0.0,1.5,0.5,1.0,12.0,6.5,5.5,5.5,4.0,1.5,0.5,8.0,2.0,9.5,1.5,2.0,0.75,4,4.5,0.5,0.0,0.5,10.0,14.5,-4.5,6.5,5.0,1.5,0.6041666666666667,5.0,-1.5,11.0,2.5,2.0,0.75
2011-09-17,00:00,Blackburn,Arsenal,H,4,3,-8,0.0,0.5,1.5,-1.0,15.0,11.0,4.0,7.0,4.0,3.0,0.4642857142857143,8.5,3.5,15.5,-4.0,0.0,0.0,8,0.0,1.0,4.0,-3.0,14.0,15.5,-1.5,8.5,8.0,0.5,0.564327485380117,5.0,2.5,9.0,0.0,0.5,0.25
2011-09-17,00:00,Bolton,Norwich,A,1,2,3,-5.0,1.0,4.0,-3.0,13.0,15.0,-2.0,8.5,9.0,-0.5,0.6583333333333333,6.0,-1.5,16.5,-9.0,0.0,0.0,-3,0.0,1.0,2.0,-1.0,11.0,17.0,-6.0,4.5,9.5,-5.0,0.4487179487179487,4.5,-3.0,11.0,3.0,0.5,0.25
2011-09-17,00:00,Everton,Wigan,H,3,1,-2,-1.5,1.0,1.5,-0.5,15.5,5.5,10.0,8.5,3.0,5.5,0.5441176470588236,5.0,4.5,12.5,-2.5,0.5,0.25,2,-3.0,0.0,1.5,-1.5,9.5,17.5,-8.0,4.5,8.0,-3.5,0.4777777777777778,5.0,-2.5,13.5,-6.5,0.5,0.25
2011-09-17,00:00,Swansea,West Brom,H,3,0,-5,0.0,0.0,0.0,0.0,13.5,11.0,2.5,6.0,6.0,0.0,0.45,7.0,1.5,7.5,6.5,1.0,0.5,5,-2.5,1.0,1.0,0.0,10.0,19.5,-9.5,6.5,8.5,-2.0,0.6547619047619048,3.5,-0.5,9.5,1.5,1.5,0.5
2011-09-17,00:00,Wolves,QPR,A,0,3,5,2.0,1.0,1.0,0.0,13.5,12.5,1.0,6.5,7.5,-1.0,0.5058823529411764,5.5,-3.5,6.0,5.0,1.5,0.5,-5,0.0,0.5,1.0,-0.5,11.5,13.5,-2.0,6.0,8.5,-2.5,0.6118421052631579,4.0,-1.0,8.5,4.0,1.5,0.5
2011-09-18,00:00,Fulham,Man City,D,2,2,-18,1.0,0.5,0.5,0.0,13.0,8.5,4.5,8.5,3.0,5.5,0.6538461538461539,6.5,4.0,8.5,6.5,1.0,0.5,18,0.0,4.0,1.5,2.5,19.5,10.5,9.0,10.5,7.0,3.5,0.5374331550802138,6.5,-2.0,11.5,3.5,3.0,1.0
2011-09-18,00:00,Man United,Chelsea,H,3,1,1,0.0,5.5,1.0,4.5,26.0,19.5,6.5,18.0,12.5,5.5,0.6888888888888889,7.0,3.0,10.5,-2.5,3.0,1.0,-1,4.5,1.0,0.5,0.5,18.0,10.0,8.0,9.5,5.0,4.5,0.525,6.5,2.5,7.5,2.0,2.0,0.75
