Date,Time,HomeTeam,AwayTeam,FTR,FTHG,FTAG,Home_TablePosDiff,Home_TablePosDiff_Rolling5,Home_GoalsFor_Rolling5,Home_GoalsAgainst_Rolling5,Home_GoalDifference_Rolling5,Home_Shots_Rolling5,Home_ShotsAgainst_Rolling5,Home_ShotDifference_Rolling5,Home_ShotsOnTarget_Rolling5,Home_ShotsOnTargetAgainst_Rolling5,Home_ShotOnTargetDifference_Rolling5,Home_ShotAccuracy_Rolling5,Home_Corners_Rolling5,Home_CornerDifference_Rolling5,Home_Fouls_Rolling5,Home_FoulDifference_Rolling5,Home_Points_Rolling5,Home_Win_Rolling5,Away_TablePosDiff,Away_TablePosDiff_Rolling5,Away_GoalsFor_Rolling5,Away_GoalsAgainst_Rolling5,Away_GoalDifference_Rolling5,Away_Shots_Rolling5,Away_ShotsAgainst_Rolling5,Away_ShotDifference_Rolling5,Away_ShotsOnTarget_Rolling5,Away_ShotsOnTargetAgainst_Rolling5,Away_ShotOnTargetDifference_Rolling5,Away_ShotAccuracy_Rolling5,Away_Corners_Rolling5,Away_CornerDifference_Rolling5,Away_Fouls_Rolling5,Away_FoulDifference_Rolling5,Away_Points_Rolling5,Away_Win_Rolling5
2016-08-20,00:00,Burnley,Liverpool,H,2,0,0,0.0,0.0,1.0,-1.0,10.0,17.0,-7.0,3.0,9.0,-6.0,0.3,7.0,3.0,10.0,4.0,0.0,0.0,0,0.0,4.0,3.0,1.0,16.0,9.0,7.0,7.0,5.0,2.0,0.4375,4.0,-1.0,17.0,-4.0,3.0,1.0
2016-08-27,00:00,Crystal Palace,Bournemouth,D,1,1,0,0.0,0.0,1.0,-1.0,14.0,13.0,1.0,4.0,3.0,1.0,0.2857142857142857,3.0,-3.0,12.0,3.0,0.0,0.0,0,0.0,0.0,1.0,-1.0,8.0,15.0,-7.0,5.0,2.0,3.0,0.625,6.0,5.0,15.0,0.0,0.0,0.0
2016-08-27,00:00,Everton,Stoke,H,1,0,0,0.0,1.0,1.0,0.0,12.0,13.0,-1.0,6.0,4.0,2.0,0.5,5.0,-1.0,10.0,4.0,1.0,0.5,0,0.0,1.0,1.0,0.0,12.0,12.0,0.0,1.0,2.0,-1.0,0.08333333333333333,6.0,-3.0,14.0,4.0,1.0,0.5
2016-08-27,00:00,Hull,Man United,A,0,1,0,0.0,2.0,1.0,1.0,14.0,18.0,-4.0,5.0,5.0,0.0,0.35714285714285715,5.0,2.0,8.0,9.0,3.0,1.0,0,0.0,3.0,1.0,2.0,11.0,9.0,2.0,7.0,3.0,4.0,0.6363636363636364,2.0,-2.0,10.0,-3.0,3.0,1.0
2016-08-27,00:00,Leicester,Swansea,H,2,1,0,0.0,0.0,0.0,0.0,8.0,13.0,-5.0,1.0,4.0,-3.0,0.125,2.0,-5.0,11.0,-4.0,1.0,0.5,0,0.0,1.0,0.0,1.0,17.0,10.0,7.0,9.0,3.0,6.0,0.5294117647058824,4.0,-3.0,14.0,-4.0,3.0,1.0
2016-08-27,00:00,Southampton,Sunderland,D,1,1,0,0.0,1.0,1.0,0.0,24.0,5.0,19.0,6.0,1.0,5.0,0.25,6.0,4.0,8.0,4.0,1.0,0.5,0,0.0,1.0,2.0,-1.0,7.0,16.0,-9.0,3.0,4.0,-1.0,0.42857142857142855,6.0,-3.0,14.0,-3.0,0.0,0.0
2016-08-27,00:00,Tottenham,Liverpool,D,1,1,0,0.0,1.0,0.0,1.0,20.0,10.0,10.0,5.0,2.0,3.0,0.25,10.0,6.0,19.0,-10.0,3.0,1.0,0,0.0,2.0,2.5,-0.5,21.0,6.0,15.0,6.0,3.5,2.5,0.31490384615384615,8.0,5.0,11.0,2.5,1.5,0.5
2016-08-27,00:00,Watford,Arsenal,A,1,3,0,0.0,1.0,2.0,-1.0,6.0,13.0,-7.0,2.0,4.0,-2.0,0.3333333333333333,0.0,-5.0,20.0,-10.0,0.0,0.0,0,0.0,0.0,0.0,0.0,13.0,8.0,5.0,4.0,1.0,3.0,0.3076923076923077,7.0,5.0,7.0,4.0,1.0,0.5
2016-08-28,00:00,Man City,West Ham,H,3,1,0,0.0,2.0,1.0,1.0,16.0,7.0,9.0,4.0,3.0,1.0,0.25,9.0,3.0,11.0,3.0,3.0,1.0,0,0.0,1.0,2.0,-1.0,7.0,16.0,-9.0,3.0,6.0,-3.0,0.42857142857142855,1.0,-6.0,16.0,0.0,0.0,0.0
2016-08-28,00:00,West Brom,Middlesbrough,D,0,0,0,0.0,1.0,2.0,-1.0,11.0,13.0,-2.0,4.0,7.0,-3.0,0.36363636363636365,7.0,3.0,16.0,-6.0,0.0,0.0,0,0.0,2.0,1.0,1.0,8.0,18.0,-10.0,3.0,5.0,-2.0,0.375,1.0,-7.0,14.0,-3.0,3.0,1.0
2016-09-10,00:00,Arsenal,Southampton,H,2,1,7,0.0,3.0,4.0,-1.0,9.0,16.0,-7.0,5.0,7.0,-2.0,0.5555555555555556,5.0,1.0,13.0,4.0,0.0,0.0,-7,0.0,0.0,2.0,-2.0,13.0,12.0,1.0,1.0,5.0,-4.0,0.07692307692307693,0.0,-4.0,8.0,3.0,0.0,0.0
2016-09-10,00:00,Bournemouth,West Brom,H,1,0,-9,0.0,1.0,3.0,-2.0,9.0,11.0,-2.0,3.0,7.0,-4.0,0.3333333333333333,4.0,2.0,7.0,3.0,0.0,0.0,9,0.0,1.0,0.0,1.0,13.0,14.0,-1.0,3.0,4.0,-1.0,0.23076923076923078,6.0,3.0,15.0,-3.0,3.0,1.0
2016-09-10,00:00,Burnley,Hull,D,1,1,-8,0.0,1.0,0.5,0.5,6.5,21.5,-15.0,2.5,7.0,-4.5,0.4833333333333333,4.0,-4.0,12.0,-2.5,1.5,0.5,8,0.0,2.0,0.0,2.0,12.0,13.0,-1.0,4.0,3.0,1.0,0.3333333333333333,3.0,-5.0,10.0,-3.0,3.0,1.0
2016-09-10,00:00,Man United,Man City,A,1,2,-2,0.0,2.0,0.0,2.0,12.0,13.0,-1.0,5.0,1.0,4.0,0.4166666666666667,4.0,4.0,11.0,-3.0,3.0,1.0,2,0.0,4.0,1.0,3.0,12.0,8.0,4.0,6.0,3.0,3.0,0.5,7.0,0.0,13.0,-1.0,3.0,1.0
2016-09-10,00:00,Middlesbrough,Crystal Palace,A,1,2,10,0.0,1.0,1.0,0.0,12.0,12.0,0.0,2.0,1.0,1.0,0.16666666666666666,9.0,3.0,18.0,-4.0,1.0,0.5,-10,0.0,0.0,1.0,-1.0,10.0,20.0,-10.0,2.0,5.0,-3.0,0.2,4.0,-6.0,9.0,10.0,0.0,0.0
2016-09-10,00:00,Stoke,Tottenham,A,0,4,-12,0.0,1.0,4.0,-3.0,8.0,12.0,-4.0,3.0,6.0,-3.0,0.375,7.0,0.0,12.0,1.0,0.0,0.0,12,0.0,1.0,1.0,0.0,13.0,12.0,1.0,4.0,6.0,-2.0,0.3076923076923077,6.0,1.0,14.0,-4.0,1.0,0.5
2016-09-10,00:00,West Ham,Watford,A,2,4,4,0.0,1.0,0.0,1.0,15.0,8.0,7.0,2.0,5.0,-3.0,0.13333333333333333,1.0,-5.0,15.0,0.0,3.0,1.0,-4,0.0,1.0,1.0,0.0,5.0,24.0,-19.0,1.0,6.0,-5.0,0.2,2.0,-4.0,12.0,-4.0,1.0,0.5
2016-09-11,00:00,Swansea,Chelsea,D,2,2,-14,0.0,0.0,2.0,-2.0,13.0,12.0,1.0,3.0,4.0,-1.0,0.23076923076923078,8.0,5.0,7.0,3.0,0.0,0.0,14,0.0,2.0,1.0,1.0,13.0,6.0,7.0,4.0,2.0,2.0,0.3076923076923077,5.0,5.0,10.0,10.0,3.0,1.0
2016-09-12,00:00,Sunderland,Everton,A,0,3,-11,0.0,1.0,2.0,-1.0,18.0,8.0,10.0,5.0,3.0,2.0,0.2777777777777778,8.0,7.0,11.0,3.0,0.0,0.0,11,0.0,2.0,1.0,1.0,13.0,11.0,2.0,7.0,4.0,3.0,0.5384615384615384,4.0,-3.0,10.0,6.0,3.0,1.0
