Date,Time,HomeTeam,AwayTeam,FTR,FTHG,FTAG,Home_TablePosDiff,Home_TablePosDiff_Rolling5,Home_TablePosDiff_Rolling10,Home_GoalsFor_Rolling5,Home_GoalsFor_Rolling10,Home_Shots_Rolling5,Home_Shots_Rolling10,Home_ShotsOnTarget_Rolling5,Home_ShotsOnTarget_Rolling10,Home_Corners_Rolling5,Home_Corners_Rolling10,Home_Fouls_Rolling5,Home_Fouls_Rolling10,Home_TablePosDiff_Rolling5_all,Home_TablePosDiff_Rolling10_all,Home_GoalsFor_Rolling5_all,Home_GoalsFor_Rolling10_all,Home_Shots_Rolling5_all,Home_Shots_Rolling10_all,Home_ShotsOnTarget_Rolling5_all,Home_ShotsOnTarget_Rolling10_all,Home_Corners_Rolling5_all,Home_Corners_Rolling10_all,Home_Fouls_Rolling5_all,Home_Fouls_Rolling10_all,Home_Points_Rolling5,Home_Points_Rolling10,Home_Points_Rolling5_all,Home_Points_Rolling10_all,Home_Win_Rolling5,Home_Win_Rolling10,Home_Win_Rolling5_all,Home_Win_Rolling10_all,TablePosDiff,TablePosDiff_Rolling5,TablePosDiff_Rolling10,GoalsFor_Rolling5,GoalsFor_Rolling10,Shots_Rolling5,Shots_Rolling10,ShotsOnTarget_Rolling5,ShotsOnTarget_Rolling10,Corners_Rolling5,Corners_Rolling10,Fouls_Rolling5,Fouls_Rolling10,TablePosDiff_Rolling5_all,TablePosDiff_Rolling10_all,GoalsFor_Rolling5_all,GoalsFor_Rolling10_all,Shots_Rolling5_all,Shots_Rolling10_all,ShotsOnTarget_Rolling5_all,ShotsOnTarget_Rolling10_all,Corners_Rolling5_all,Corners_Rolling10_all,Fouls_Rolling5_all,Fouls_Rolling10_all,Points_Rolling5,Points_Rolling10,Points_Rolling5_all,Points_Rolling10_all,Win_Rolling5,Win_Rolling10,Win_Rolling5_all,Win_Rolling10_all
2021-08-28,12:30,Man City,Arsenal,H,5,0,0,0.0,0.0,5.0,5.0,16.0,16.0,4.0,4.0,6.0,6.0,13.0,13.0,0.0,0.0,2.5,2.5,17.0,17.0,4.0,4.0,8.5,8.5,10.5,10.5,3.0,3.0,1.5,1.5,1.0,1.0,0.5,0.5,0,0.0,0.0,0.0,0.0,22.0,22.0,4.0,4.0,5.0,5.0,8.0,8.0,0.0,0.0,0.0,0.0,14.0,14.0,3.5,3.5,7.0,7.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-08-28,15:00,Aston Villa,Brentford,D,1,1,0,0.0,0.0,2.0,2.0,10.0,10.0,2.0,2.0,3.0,3.0,8.0,8.0,0.0,0.0,2.0,2.0,10.5,10.5,2.0,2.0,3.5,3.5,10.5,10.5,3.0,3.0,1.5,1.5,1.0,1.0,0.5,0.5,0,0.0,0.0,0.0,0.0,14.0,14.0,3.0,3.0,5.0,5.0,9.0,9.0,0.0,0.0,1.0,1.0,11.0,11.0,3.0,3.0,3.5,3.5,10.5,10.5,1.0,1.0,2.0,2.0,0.5,0.5,0.75,0.75
2021-08-28,15:00,Brighton,Everton,A,0,2,0,0.0,0.0,2.0,2.0,13.0,13.0,3.0,3.0,7.0,7.0,11.0,11.0,0.0,0.0,2.0,2.0,13.5,13.5,5.5,5.5,6.5,6.5,9.0,9.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,0,0.0,0.0,2.0,2.0,17.0,17.0,8.0,8.0,5.0,5.0,13.0,13.0,0.0,0.0,2.5,2.5,15.5,15.5,7.0,7.0,5.5,5.5,13.0,13.0,1.0,1.0,2.0,2.0,0.5,0.5,0.75,0.75
2021-08-28,15:00,Newcastle,Southampton,D,2,2,0,0.0,0.0,2.0,2.0,17.0,17.0,3.0,3.0,7.0,7.0,4.0,4.0,0.0,0.0,1.0,1.0,13.0,13.0,2.0,2.0,5.5,5.5,11.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,1.0,6.0,6.0,3.0,3.0,8.0,8.0,15.0,15.0,0.0,0.0,1.0,1.0,7.0,7.0,3.0,3.0,7.5,7.5,13.5,13.5,0.0,0.0,0.5,0.5,0.0,0.0,0.25,0.25
2021-08-28,15:00,Norwich,Leicester,A,1,2,0,0.0,0.0,0.0,0.0,14.0,14.0,3.0,3.0,3.0,3.0,4.0,4.0,0.0,0.0,0.0,0.0,7.5,7.5,1.5,1.5,2.0,2.0,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,1.0,5.0,5.0,1.0,1.0,0.0,0.0,8.0,8.0,0.0,0.0,1.0,1.0,7.0,7.0,3.0,3.0,2.5,2.5,7.0,7.0,0.0,0.0,1.5,1.5,0.0,0.0,0.5,0.5
2021-08-28,15:00,West Ham,Crystal Palace,D,2,2,0,0.0,0.0,4.0,4.0,13.0,13.0,7.0,7.0,10.0,10.0,8.0,8.0,0.0,0.0,4.0,4.0,10.5,10.5,8.0,8.0,8.0,8.0,5.5,5.5,3.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,0,0.0,0.0,0.0,0.0,4.0,4.0,1.0,1.0,2.0,2.0,11.0,11.0,0.0,0.0,0.0,0.0,5.5,5.5,1.5,1.5,2.5,2.5,11.5,11.5,0.0,0.0,0.5,0.5,0.0,0.0,0.25,0.25
2021-08-28,17:30,Liverpool,Chelsea,D,1,1,0,0.0,0.0,2.0,2.0,27.0,27.0,9.0,9.0,8.0,8.0,6.0,6.0,0.0,0.0,2.5,2.5,23.0,23.0,8.5,8.5,9.5,9.5,10.0,10.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,0,0.0,0.0,2.0,2.0,22.0,22.0,5.0,5.0,8.0,8.0,4.0,4.0,0.0,0.0,2.5,2.5,17.5,17.5,5.5,5.5,6.5,6.5,9.5,9.5,3.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0
2021-08-29,14:00,Burnley,Leeds,D,1,1,0,0.0,0.0,1.0,1.0,14.0,14.0,3.0,3.0,7.0,7.0,10.0,10.0,0.0,0.0,0.5,0.5,11.5,11.5,3.0,3.0,5.5,5.5,11.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,1.0,10.0,10.0,3.0,3.0,4.0,4.0,9.0,9.0,0.0,0.0,1.5,1.5,13.5,13.5,3.5,3.5,6.0,6.0,7.5,7.5,0.0,0.0,0.5,0.5,0.0,0.0,0.25,0.25
2021-08-29,14:00,Tottenham,Watford,H,1,0,0,0.0,0.0,1.0,1.0,13.0,13.0,3.0,3.0,3.0,3.0,11.0,11.0,0.0,0.0,1.0,1.0,10.5,10.5,4.5,4.5,3.5,3.5,9.0,9.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,0,0.0,0.0,0.0,0.0,10.0,10.0,1.0,1.0,2.0,2.0,6.0,6.0,0.0,0.0,1.5,1.5,11.5,11.5,4.0,4.0,2.0,2.0,12.0,12.0,0.0,0.0,1.5,1.5,0.0,0.0,0.5,0.5
2021-08-29,16:30,Wolves,Man United,A,0,1,0,0.0,0.0,0.0,0.0,25.0,25.0,6.0,6.0,5.0,5.0,9.0,9.0,0.0,0.0,0.0,0.0,21.0,21.0,4.5,4.5,4.5,4.5,9.5,9.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,1.0,15.0,15.0,4.0,4.0,7.0,7.0,10.0,10.0,0.0,0.0,3.0,3.0,15.5,15.5,6.0,6.0,6.0,6.0,10.5,10.5,1.0,1.0,2.0,2.0,0.5,0.5,0.75,0.75
2021-09-11,12:30,Crystal Palace,Tottenham,H,3,0,-13,0.0,0.0,0.0,0.0,7.0,7.0,2.0,2.0,3.0,3.0,12.0,12.0,0.0,0.0,0.6666666666666666,0.6666666666666666,6.666666666666667,6.666666666666667,1.6666666666666667,1.6666666666666667,2.6666666666666665,2.6666666666666665,10.0,10.0,1.0,1.0,0.6666666666666666,0.6666666666666666,0.5,0.5,0.3333333333333333,0.3333333333333333,13,0.0,0.0,1.0,1.0,8.0,8.0,6.0,6.0,4.0,4.0,7.0,7.0,0.0,0.0,1.0,1.0,12.0,12.0,5.666666666666667,5.666666666666667,5.666666666666667,5.666666666666667,8.666666666666666,8.666666666666666,3.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0
2021-09-11,15:00,Arsenal,Norwich,H,1,0,-1,0.0,0.0,0.0,0.0,6.0,6.0,3.0,3.0,9.0,9.0,10.0,10.0,0.0,0.0,0.0,0.0,9.666666666666666,9.666666666666666,2.3333333333333335,2.3333333333333335,4.666666666666667,4.666666666666667,8.333333333333334,8.333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,7.0,7.0,0.0,0.0,0.3333333333333333,0.3333333333333333,9.666666666666666,9.666666666666666,2.3333333333333335,2.3333333333333335,4.333333333333333,4.333333333333333,6.333333333333333,6.333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-09-11,15:00,Brentford,Brighton,A,0,1,-2,0.0,0.0,2.0,2.0,8.0,8.0,3.0,3.0,2.0,2.0,12.0,12.0,0.0,0.0,1.0,1.0,10.333333333333334,10.333333333333334,2.6666666666666665,2.6666666666666665,3.0,3.0,11.666666666666666,11.666666666666666,3.0,3.0,1.6666666666666667,1.6666666666666667,1.0,1.0,0.6666666666666666,0.6666666666666666,2,0.0,0.0,2.0,2.0,14.0,14.0,8.0,8.0,6.0,6.0,7.0,7.0,0.0,0.0,1.3333333333333333,1.3333333333333333,13.666666666666666,13.666666666666666,4.666666666666667,4.666666666666667,5.666666666666667,5.666666666666667,8.333333333333334,8.333333333333334,3.0,3.0,2.0,2.0,1.0,1.0,0.6666666666666666,0.6666666666666666
2021-09-11,15:00,Leicester,Man City,A,0,1,-1,0.0,0.0,1.0,1.0,9.0,9.0,5.0,5.0,5.0,5.0,6.0,6.0,0.0,0.0,1.3333333333333333,1.3333333333333333,7.666666666666667,7.666666666666667,3.0,3.0,4.666666666666667,4.666666666666667,7.666666666666667,7.666666666666667,3.0,3.0,2.0,2.0,1.0,1.0,0.6666666666666666,0.6666666666666666,1,0.0,0.0,0.0,0.0,18.0,18.0,4.0,4.0,11.0,11.0,8.0,8.0,0.0,0.0,3.3333333333333335,3.3333333333333335,19.666666666666668,19.666666666666668,6.0,6.0,10.333333333333334,10.333333333333334,8.666666666666666,8.666666666666666,0.0,0.0,2.0,2.0,0.0,0.0,0.6666666666666666,0.6666666666666666
2021-09-11,15:00,Man United,Newcastle,H,4,1,13,0.0,0.0,5.0,5.0,16.0,16.0,8.0,8.0,5.0,5.0,11.0,11.0,0.0,0.0,2.3333333333333335,2.3333333333333335,13.666666666666666,13.666666666666666,5.0,5.0,6.333333333333333,6.333333333333333,10.0,10.0,3.0,3.0,2.3333333333333335,2.3333333333333335,1.0,1.0,0.8333333333333334,0.8333333333333334,-13,0.0,0.0,0.0,0.0,9.0,9.0,1.0,1.0,4.0,4.0,18.0,18.0,0.0,0.0,1.3333333333333333,1.3333333333333333,12.0,12.0,3.0,3.0,5.0,5.0,11.0,11.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.16666666666666666,0.16666666666666666
2021-09-11,15:00,Southampton,West Ham,D,0,0,-10,0.0,0.0,1.0,1.0,8.0,8.0,3.0,3.0,7.0,7.0,12.0,12.0,0.0,0.0,1.3333333333333333,1.3333333333333333,12.0,12.0,4.0,4.0,6.333333333333333,6.333333333333333,11.0,11.0,1.0,1.0,0.6666666666666666,0.6666666666666666,0.5,0.5,0.3333333333333333,0.3333333333333333,10,0.0,0.0,4.0,4.0,8.0,8.0,9.0,9.0,6.0,6.0,3.0,3.0,0.0,0.0,3.3333333333333335,3.3333333333333335,11.666666666666666,11.666666666666666,6.666666666666667,6.666666666666667,7.0,7.0,7.0,7.0,3.0,3.0,2.3333333333333335,2.3333333333333335,1.0,1.0,0.8333333333333334,0.8333333333333334
2021-09-11,15:00,Watford,Wolves,A,0,2,5,0.0,0.0,3.0,3.0,13.0,13.0,7.0,7.0,2.0,2.0,18.0,18.0,0.0,0.0,1.0,1.0,10.666666666666666,10.666666666666666,3.3333333333333335,3.3333333333333335,2.3333333333333335,2.3333333333333335,12.666666666666666,12.666666666666666,3.0,3.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,-5,0.0,0.0,0.0,0.0,17.0,17.0,3.0,3.0,4.0,4.0,10.0,10.0,0.0,0.0,0.0,0.0,19.0,19.0,5.0,5.0,4.666666666666667,4.666666666666667,8.666666666666666,8.666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-09-11,17:30,Chelsea,Aston Villa,H,3,0,6,0.0,0.0,3.0,3.0,13.0,13.0,6.0,6.0,5.0,5.0,15.0,15.0,0.0,0.0,2.0,2.0,13.666666666666666,13.666666666666666,4.666666666666667,4.666666666666667,5.333333333333333,5.333333333333333,7.666666666666667,7.666666666666667,3.0,3.0,2.3333333333333335,2.3333333333333335,1.0,1.0,0.8333333333333334,0.8333333333333334,-6,0.0,0.0,2.0,2.0,11.0,11.0,2.0,2.0,4.0,4.0,13.0,13.0,0.0,0.0,1.6666666666666667,1.6666666666666667,9.333333333333334,9.333333333333334,3.0,3.0,3.3333333333333335,3.3333333333333335,12.0,12.0,0.0,0.0,1.3333333333333333,1.3333333333333333,0.0,0.0,0.5,0.5
2021-09-12,16:30,Leeds,Liverpool,A,0,3,-10,0.0,0.0,2.0,2.0,17.0,17.0,4.0,4.0,8.0,8.0,6.0,6.0,0.0,0.0,1.3333333333333333,1.3333333333333333,13.0,13.0,3.0,3.0,5.666666666666667,5.666666666666667,8.0,8.0,1.0,1.0,0.6666666666666666,0.6666666666666666,0.5,0.5,0.3333333333333333,0.3333333333333333,10,0.0,0.0,3.0,3.0,19.0,19.0,8.0,8.0,11.0,11.0,14.0,14.0,0.0,0.0,2.0,2.0,23.333333333333332,23.333333333333332,8.0,8.0,10.333333333333334,10.333333333333334,11.0,11.0,3.0,3.0,2.3333333333333335,2.3333333333333335,1.0,1.0,0.8333333333333334,0.8333333333333334
